0.491,0.627,0.585
0.491,0.629,0.589
0.488,0.623,0.589
0.488,0.625,0.577
0.506,0.621,0.591
0.498,0.627,0.576
0.5,0.62,0.593
0.492,0.617,0.602
0.496,0.629,0.589
0.492,0.632,0.583
0.507,0.613,0.594
0.508,0.612,0.593
0.505,0.608,0.6
0.496,0.602,0.591
0.499,0.613,0.576
0.487,0.608,0.578
0.478,0.614,0.606
0.488,0.609,0.618
0.485,0.616,0.599
0.492,0.628,0.594
0.513,0.65,0.623
0.555,0.695,0.66
0.614,0.758,0.704
0.669,0.886,0.742
0.714,1.031,0.837
0.756,1.065,0.92
0.756,1.014,0.979
0.733,0.951,0.939
0.684,0.875,0.835
0.608,0.793,0.665
0.537,0.705,0.478
0.446,0.623,0.333
0.324,0.528,0.232
0.211,0.437,0.254
0.157,0.449,0.22
0.109,0.25,0.241
0.046,0.212,0.209
0.006,0.17,0.148
0.044,0.158,0.115
0.118,0.124,0.126
0.207,0.13,0.096
0.263,0.201,0.162
0.351,0.29,0.293
0.464,0.399,0.476
0.554,0.55,0.531
0.602,0.734,0.559
0.685,1.004,0.611
0.748,1.139,0.822
0.883,1.301,0.942
0.973,1.422,0.994
1.032,1.535,0.981
1.038,1.458,0.945
1.017,1.373,0.906
0.965,1.168,0.851
0.825,1.012,0.748
0.688,0.896,0.684
0.629,0.794,0.48
0.533,0.678,0.281
0.424,0.576,0.187
0.331,0.438,0.211
0.26,0.326,0.102
0.201,0.197,0.035
0.137,0.158,0.057
0.057,0.144,0.153
0.037,0.15,0.195
0.068,0.162,0.182
0.142,0.156,0.146
0.206,0.21,0.14
0.285,0.306,0.17
0.362,0.406,0.293
0.419,0.517,0.492
0.481,0.659,0.677
0.562,0.856,0.802
0.643,1.007,0.854
0.735,1.1,0.878
0.829,1.259,0.953
0.947,1.339,1.019
1.009,1.337,1.139
0.999,1.35,1.175
0.943,1.206,1.043
0.843,1.037,1.044
0.755,0.91,1.004
0.644,0.822,0.848
0.567,0.723,0.622
0.471,0.651,0.507
0.418,0.532,0.427
0.367,0.414,0.3
0.299,0.312,0.191
0.236,0.243,0.124
0.176,0.185,0.089
0.14,0.129,0.085
0.095,0.087,0.126
0.094,0.104,0.143
0.135,0.098,0.126
0.181,0.127,0.125
0.224,0.215,0.183
0.275,0.277,0.311
0.313,0.396,0.445
0.34,0.536,0.591
0.423,0.676,0.675
0.52,0.859,0.778
0.631,1.038,0.908
0.734,1.193,1.019
0.831,1.329,1.11
0.939,1.414,1.126
0.993,1.384,1.26
0.993,1.303,1.298
0.936,1.175,1.193
0.831,1.035,1.058
0.726,0.886,0.95
0.614,0.81,0.802
0.521,0.672,0.669
0.424,0.547,0.501
0.353,0.434,0.433
0.285,0.366,0.371
0.222,0.311,0.295
0.178,0.276,0.239
0.158,0.22,0.229
0.169,0.175,0.186
0.209,0.175,0.104
0.206,0.167,0.052
0.245,0.174,0.001
0.304,0.178,-0.023
0.345,0.215,0.042
0.359,0.26,0.149
0.352,0.332,0.292
0.309,0.451,0.482
0.324,0.544,0.635
0.368,0.615,0.78
0.433,0.784,0.92
0.508,0.901,1.02
0.594,1.029,1.02
0.734,1.121,1.031
0.898,1.283,1.041
1.018,1.406,1.158
1.03,1.409,1.295
1.028,1.249,1.391
0.952,1.03,1.367
0.834,0.923,1.191
0.687,0.858,0.994
0.554,0.762,0.829
0.456,0.628,0.601
0.39,0.479,0.339
0.332,0.394,0.193
0.241,0.287,0.208
0.173,0.226,0.232
0.104,0.211,0.231
0.046,0.161,0.268
0.034,0.128,0.279
0.039,0.095,0.244
0.089,0.108,0.156
0.149,0.113,0.067
0.203,0.132,-0.015
0.27,0.211,0.029
0.282,0.246,0.217
0.293,0.346,0.408
0.344,0.429,0.541
0.376,0.534,0.616
0.44,0.672,0.698
0.52,0.831,0.843
0.622,1.015,1.039
0.757,1.189,1.139
0.961,1.416,1.239
1.062,1.621,1.328
1.047,1.507,1.52
1.053,1.303,1.614
0.939,1.072,1.617
0.808,0.972,1.366
0.677,0.835,1.18
0.571,0.759,0.862
0.412,0.643,0.646
0.413,0.546,0.413
0.388,0.465,0.229
0.31,0.355,0.166
0.236,0.303,0.134
0.138,0.285,0.136
0.063,0.22,0.176
0.038,0.164,0.209
0.062,0.135,0.15
0.056,0.106,0.127
0.034,0.124,0.099
0.118,0.106,-0.003
0.191,0.127,-0.055
0.245,0.154,0.045
0.256,0.243,0.137
0.339,0.308,0.26
0.372,0.368,0.487
0.345,0.533,0.595
0.374,0.699,0.75
0.43,0.906,0.867
0.501,1.159,0.989
0.584,1.303,1.192
0.797,1.426,1.329
0.95,1.534,1.425
1.032,1.581,1.541
1.004,1.448,1.622
0.951,1.263,1.51
0.841,1.119,1.318
0.709,1.013,1.085
0.554,0.905,0.807
0.472,0.757,0.567
0.411,0.595,0.359
0.3,0.467,0.259
0.235,0.367,0.143
0.128,0.248,0.092
0.061,0.188,0.105
-0.026,0.15,0.154
-0.05,0.102,0.218
-0.041,0.027,0.223
0.011,0.007,0.151
0.087,0.013,0.069
0.169,0.023,0.064
0.219,0.057,0.085
0.266,0.122,0.247
0.304,0.262,0.461
0.316,0.45,0.602
0.28,0.595,0.667
0.342,0.805,0.704
0.419,1.014,0.82
0.552,1.209,0.882
0.629,1.319,1.067
0.826,1.477,1.224
1.032,1.625,1.416
1.062,1.613,1.518
1.057,1.384,1.565
0.971,1.147,1.491
0.824,0.997,1.335
0.666,0.929,1.14
0.539,0.873,0.89
0.424,0.707,0.709
0.364,0.548,0.534
0.368,0.484,0.283
0.308,0.402,0.191
0.263,0.292,0.074
0.191,0.275,0.033
0.139,0.214,0.034
0.104,0.172,0.012
0.113,0.156,0.011
0.078,0.113,0.028
0.085,0.099,0.034
0.117,0.145,0.035
0.17,0.157,0.018
0.221,0.189,0.064
0.271,0.232,0.175
0.313,0.311,0.336
0.305,0.433,0.472
0.296,0.604,0.632
0.375,0.758,0.845
0.472,0.915,0.938
0.562,1.147,0.945
0.732,1.347,0.94
0.955,1.5,1.068
1.089,1.65,1.238
1.147,1.823,1.309
1.097,1.715,1.415
1.014,1.407,1.396
0.884,1.198,1.187
0.69,1.009,1.009
0.577,0.929,0.739
0.45,0.776,0.552
0.358,0.576,0.426
0.271,0.492,0.191
0.23,0.358,0.051
0.191,0.283,0.034
0.162,0.162,0.054
0.116,0.173,0.137
0.049,0.12,0.21
0.059,0.098,0.231
0.088,0.056,0.057
0.125,0.056,-0.036
0.154,0.05,-0.044
0.178,0.059,-0.016
0.219,0.1,0.049
0.233,0.159,0.147
0.221,0.275,0.294
0.208,0.407,0.422
0.211,0.542,0.634
0.314,0.712,0.886
0.407,0.945,0.94
0.514,1.192,0.895
0.672,1.404,0.984
0.874,1.594,1.192
1.058,1.814,1.369
1.148,1.76,1.599
1.228,1.682,1.676
1.052,1.472,1.642
0.871,1.288,1.383
0.691,1.106,1.124
0.563,0.941,0.8
0.484,0.68,0.497
0.498,0.698,0.203
0.319,0.367,0.118
0.223,0.261,0.002
0.167,0.2,0.017
0.058,0.167,0.031
-0.032,0.132,0.082
-0.077,0.071,0.2
-0.115,0.098,0.243
-0.086,0.07,0.161
0.021,0.045,-0.027
0.094,0.015,-0.093
0.161,0.039,-0.052
0.235,0.035,0.048
0.265,0.113,0.115
0.271,0.236,0.329
0.318,0.396,0.531
0.329,0.676,0.738
0.386,0.973,1.017
0.524,1.256,1.312
0.683,1.459,1.518
0.895,1.646,1.636
1.07,1.727,1.739
1.184,1.628,1.841
1.192,1.478,1.742
0.991,1.285,1.604
0.827,1.12,1.314
0.687,0.993,1.037
0.535,0.818,0.791
0.432,0.645,0.587
0.433,0.465,0.442
0.276,0.335,0.223
0.196,0.303,0.079
0.084,0.209,0.045
-0.01,0.131,0.042
-0.056,0.067,0.076
-0.067,-0.003,0.138
-0.051,0.004,0.09
-0.013,0.027,0.007
0.063,0.002,-0.057
0.151,-0.026,-0.102
0.173,0.033,-0.01
0.195,0.109,0.091
0.23,0.213,0.321
0.279,0.415,0.512
0.298,0.662,0.715
0.361,0.881,0.992
0.438,1.131,1.223
0.583,1.302,1.343
0.804,1.448,1.429
1.052,1.672,1.553
1.234,1.754,1.699
1.287,1.622,1.837
1.128,1.48,1.729
0.963,1.197,1.562
0.77,0.953,1.274
0.657,0.8,0.978
0.511,0.597,0.726
0.618,0.267,0.469
0.407,0.426,0.117
0.19,0.204,0.18
0.136,0.122,0.072
0.039,0.11,0.045
-0.057,0.108,0.033
-0.096,0.062,-0.043
-0.057,0.003,-0.043
0.007,-0.046,-0.035
0.065,-0.033,-0.094
0.143,0.003,-0.152
0.195,0.03,-0.073
0.217,0.095,0.099
0.244,0.207,0.421
0.283,0.387,0.73
0.279,0.597,1.004
0.306,0.812,1.179
0.456,1.031,1.239
0.635,1.186,1.297
0.797,1.346,1.307
0.93,1.519,1.398
1.089,1.856,1.479
1.105,1.687,1.741
1.051,1.483,1.745
0.926,1.183,1.629
0.774,0.98,1.434
0.62,0.761,1.23
0.484,0.615,0.899
0.396,0.501,0.59
0.345,0.309,0.43
0.109,0.255,0.163
0.258,0.207,-0.115
0.178,0.092,-0.1
0.138,0.075,-0.102
0.051,0.027,0.019
0.013,0.023,0.05
0.062,0.014,0.01
0.053,0.027,-0.036
0.085,0.022,0.017
0.056,0.035,0.093
0.111,0.106,0.125
0.13,0.179,0.274
0.185,0.225,0.455
0.256,0.329,0.56
0.335,0.553,0.643
0.388,0.748,0.765
0.504,0.987,0.973
0.611,1.222,1.167
0.814,1.403,1.38
1.03,1.62,1.522
1.127,1.695,1.713
1.188,1.545,1.915
1.146,1.332,1.868
0.966,1.156,1.705
0.774,1.015,1.412
